"rank","cause_medium_year1","cause_medium_year2","cause_medium_year3","cause_type_year1","cause_type_year2","cause_type_year3","text_year1","text_year2","text_year3","cause_id_year1","cause_id_year2","cause_id_year3","rank_year1","rank_year2","rank_year3","year1","year2","year3","resid","location_id","measure_id","sex_id","age_name"
1,"Ischemic heart disease","Ischemic heart disease","Ischemic heart disease","B","B","B","100.6 (95.2 to 104.3)","103.3 (97.8 to 106.9)","113.9 (104.7 to 120.8)",493,493,493,1,1,1,1990,2000,2021,0,1,1,3,"All ages"
2,"Stroke","Stroke","COVID-19","B","B","A","94.4 (88.4 to 99.3)","96.2 (91.0 to 99.8)","100.0 (95.1 to 106.5)",494,494,1048,2,2,2,1990,2000,2021,0,1,1,3,"All ages"
3,"Lower respiratory infect","COPD","Stroke","A","B","B","56.5 (51.5 to 61.7)","47.3 (43.8 to 49.9)","91.9 (83.2 to 98.9)",322,509,494,3,3,3,1990,2000,2021,0,1,1,3,"All ages"
4,"Neonatal disorders","Lower respiratory infect","COPD","A","A","B","55.2 (52.3 to 58.5)","44.6 (41.3 to 47.9)","47.1 (42.4 to 51.8)",380,322,509,4,4,4,1990,2000,2021,0,1,1,3,"All ages"
5,"Diarrheal diseases","Neonatal disorders","Other COVID Outcomes","A","A","D","55.0 (43.3 to 69.9)","43.6 (41.1 to 46.3)","34.0 (26.4 to 45.6)",302,380,1058,5,5,5,1990,2000,2021,0,1,1,3,"All ages"
6,"COPD","Diarrheal diseases","Lower respiratory infect","B","A","A","46.8 (42.0 to 50.5)","37.4 (29.4 to 49.2)","27.7 (25.1 to 29.9)",509,302,322,6,6,6,1990,2000,2021,0,1,1,3,"All ages"
7,"Tuberculosis","Tuberculosis","Lung cancer","A","A","B","33.4 (28.7 to 37.1)","28.4 (25.7 to 30.7)","25.6 (23.1 to 28.1)",297,297,426,7,7,7,1990,2000,2021,0,1,1,3,"All ages"
8,"Road injuries","HIV/AIDS","Alzheimer's disease","C","A","B","20.8 (19.8 to 21.8)","22.5 (17.8 to 27.8)","24.7 (6.5 to 63.2)",689,298,543,8,8,8,1990,2000,2021,0,1,1,3,"All ages"
9,"Lung cancer","Lung cancer","Neonatal disorders","B","B","A","20.3 (19.2 to 21.3)","21.7 (20.8 to 22.5)","23.2 (19.9 to 26.9)",426,426,380,9,9,9,1990,2000,2021,0,1,1,3,"All ages"
10,"Cirrhosis liver","Road injuries","Diabetes","B","C","B","19.2 (17.6 to 21.5)","19.5 (18.8 to 20.2)","21.0 (19.5 to 22.3)",521,689,587,10,10,10,1990,2000,2021,0,1,1,3,"All ages"
11,"Congenital defects","Cirrhosis liver","Chronic kidney disease","B","B","B","17.8 (11.1 to 23.1)","19.1 (18.1 to 20.4)","19.4 (17.6 to 20.8)",641,521,589,11,11,11,1990,2000,2021,0,1,1,3,"All ages"
12,"Stomach cancer","Alzheimer's disease","Cirrhosis liver","B","B","B","16.0 (14.5 to 17.6)","15.0 (3.7 to 40.1)","18.1 (16.6 to 19.8)",414,543,521,12,12,12,1990,2000,2021,0,1,1,3,"All ages"
